d1,d2,lower_bound,upper_bound,midpoint,swap_zone_width,failure_reason
64,49,,,,,no_o2_crossover_in_bounds
74,59,,,,,no_o1_crossover
39,22,0.0,0.327,0.1635,0.327,
28,12,,,,,no_o2_crossover_in_bounds
86,75,0.0,0.196,0.098,0.196,
63,18,,,,,no_o1_crossover
16,20,0.0,0.346,0.173,0.346,
29,37,,,,,no_o1_crossover
58,34,2.016,8.921,5.4685,6.904999999999999,
76,35,,,,,no_o1_crossover
25,27,,,,,no_o1_crossover
80,75,,,,,no_o2_crossover_in_bounds
72,87,1.74,10.0,5.87,8.26,
94,86,,,,,no_o1_crossover
8,84,,,,,no_o2_crossover_in_bounds
72,49,1.272,10.0,5.636,8.728,
66,27,0.0,0.404,0.202,0.404,
58,67,,,,,no_o1_crossover
66,72,0.0,0.534,0.267,0.534,
42,19,0.0,0.602,0.301,0.602,
34,26,0.0,0.326,0.163,0.326,
28,47,1.516,10.0,5.758,8.484,
24,8,,,,,no_o1_crossover
1,62,0.0,0.222,0.111,0.222,
76,65,,,,,no_o2_crossover_in_bounds
81,18,,,,,no_o2_crossover_in_bounds
64,40,,,,,no_o1_crossover
84,85,,,,,no_o2_crossover_in_bounds
4,52,,,,,no_o1_crossover
16,28,,,,,no_o1_crossover
56,41,3.032,6.906,4.968999999999999,3.8739999999999997,
24,35,,,,,no_o1_crossover
51,13,0.0,0.479,0.2395,0.479,
37,64,,,,,no_o2_crossover_in_bounds
39,55,1.458,10.0,5.729,8.542,
91,29,0.0,0.111,0.0555,0.111,
72,55,2.028,10.0,6.014,7.9719999999999995,
8,65,0.0,0.483,0.2415,0.483,
66,46,0.0,0.351,0.1755,0.351,
52,72,0.0,0.604,0.302,0.604,
41,2,,,,,no_o1_crossover
47,92,0.0,0.385,0.1925,0.385,
73,49,0.0,0.345,0.1725,0.345,
83,74,0.0,0.16,0.08,0.16,
67,81,,,,,no_o2_crossover_in_bounds
34,60,0.0,0.449,0.2245,0.449,
66,52,,,,,no_o2_crossover_in_bounds
92,86,,,,,no_o1_crossover
62,6,,,,,no_o1_crossover
68,20,0.0,0.385,0.1925,0.385,
85,47,,,,,no_o2_crossover_in_bounds
14,33,,,,,no_o2_crossover_in_bounds
44,47,,,,,no_o2_crossover_in_bounds
50,93,,,,,no_o1_crossover
42,77,,,,,no_o1_crossover
18,56,0.0,0.281,0.1405,0.281,
